entityName;lastModifiedTimestamp;download_dttm
MD_BU;2023-03-24T20:15:12.000Z;2023-03-24 17:57:24.154124
MD_COSTCENTER;2023-03-24T20:15:06.000Z;2023-03-24 17:57:26.319850
MD_CUSTATTRIB_TABLE_VALUES;2023-03-24T20:14:54.000Z;2023-03-24 17:57:28.912010
MD_CUST_ATTRIB;2023-03-24T20:15:11.000Z;2023-03-24 17:57:31.280078
MD_GRID_ATTR_DEFN;2023-03-24T20:14:48.000Z;2023-03-24 17:57:33.374235
MD_OBJECT_TYPE;2023-03-24T20:14:55.000Z;2023-03-24 17:57:35.772349
MD_PICKLIST;2023-03-24T20:14:48.000Z;2023-03-24 17:57:38.404239
MD_VENDOR;2023-03-24T20:14:55.000Z;2023-03-24 17:57:40.527385
MD_WF_PROCESS_DEF;2023-03-24T20:15:11.000Z;2023-03-24 17:57:42.994471
MD_WF_PROCESS_DEF_TASKS;2023-03-24T20:15:08.000Z;2023-03-24 17:57:45.298428
MD_WF_PROCESS_DEF_TASK_ASSG;2023-03-24T20:14:46.000Z;2023-03-24 17:57:47.433756
PLANNING_HIERARCHY_DEFN;2023-03-24T20:15:08.000Z;2023-03-24 17:57:49.694576
PLANNING_INFO;2023-03-24T20:15:11.000Z;2023-03-24 17:57:51.834503
PLANNING_INFO_CUSTOM_PROP;2023-03-24T20:14:55.000Z;2023-03-24 17:57:54.346241
TAG_DETAILS;2023-03-24T20:15:11.000Z;2023-03-24 17:57:56.809362
WF_PROCESS_DETAILS;2023-03-24T20:15:02.000Z;2023-03-24 17:57:59.197380
WF_PROCESS_TASKS;2023-03-24T20:14:55.000Z;2023-03-24 17:58:01.617280
WF_TASKS_USER_ASSIGNMENT;2023-03-24T20:14:57.000Z;2023-03-24 17:58:03.781775
md_creative;2023-03-24T19:55:16.000Z;2023-03-24 17:58:06.090288
md_creative_x_asset;2023-03-24T19:55:33.000Z;2023-03-24 17:58:08.299657
md_message;2023-03-24T19:55:18.000Z;2023-03-24 17:58:10.669651
md_message_x_creative;2023-03-24T19:55:31.000Z;2023-03-24 17:58:12.921556
md_task;2023-03-24T19:57:52.000Z;2023-03-24 17:58:15.167975
ASSET_DETAILS;2023-03-25T16:19:19.000Z;2023-03-25 13:44:45.499762
ASSET_DETAILS_CUSTOM_PROP;2023-03-25T16:19:27.000Z;2023-03-25 13:44:48.015044
ASSET_FOLDER_DETAILS;2023-03-25T16:19:18.000Z;2023-03-25 13:44:50.373896
ASSET_RENDITION_DETAILS;2023-03-25T16:19:28.000Z;2023-03-25 13:44:53.647801
ASSET_REVISION;2023-03-25T16:19:16.000Z;2023-03-25 13:44:57.050855
CC_BUDGET_BREAKUP;2023-03-25T16:19:24.000Z;2023-03-25 13:44:59.545763
COMMITMENT_DETAILS;2023-03-25T16:19:19.000Z;2023-03-25 13:45:01.758274
COMMITMENT_LINE_ITEMS;2023-03-25T16:19:21.000Z;2023-03-25 13:45:04.049560
COMMITMENT_LINE_ITEMS_CCBDGT;2023-03-25T16:19:19.000Z;2023-03-25 13:45:07.247507
INVOICE_DETAILS;2023-03-25T16:19:18.000Z;2023-03-25 13:45:10.334022
INVOICE_LINE_ITEMS;2023-03-25T16:19:24.000Z;2023-03-25 13:45:12.619386
INVOICE_LINE_ITEMS_CCBDGT;2023-03-25T16:19:16.000Z;2023-03-25 13:45:15.051601
MD_BU;2023-03-25T16:19:28.000Z;2023-03-25 13:45:17.139314
MD_COSTCENTER;2023-03-25T16:19:28.000Z;2023-03-25 13:45:19.691847
MD_CUSTATTRIB_TABLE_VALUES;2023-03-25T16:19:16.000Z;2023-03-25 13:45:22.139458
MD_CUST_ATTRIB;2023-03-25T16:19:28.000Z;2023-03-25 13:45:24.332920
MD_GRID_ATTR_DEFN;2023-03-25T16:19:25.000Z;2023-03-25 13:45:26.500293
MD_OBJECT_TYPE;2023-03-25T16:19:21.000Z;2023-03-25 13:45:28.862184
MD_PICKLIST;2023-03-25T16:19:24.000Z;2023-03-25 13:45:31.422123
MD_VENDOR;2023-03-25T16:19:18.000Z;2023-03-25 13:45:34.114268
MD_WF_PROCESS_DEF;2023-03-25T16:19:27.000Z;2023-03-25 13:45:36.668493
MD_WF_PROCESS_DEF_TASKS;2023-03-25T16:19:21.000Z;2023-03-25 13:45:38.910159
MD_WF_PROCESS_DEF_TASK_ASSG;2023-03-25T16:19:18.000Z;2023-03-25 13:45:41.154064
PLANNING_HIERARCHY_DEFN;2023-03-25T16:19:27.000Z;2023-03-25 13:45:43.399374
PLANNING_INFO;2023-03-25T16:19:28.000Z;2023-03-25 13:45:45.727629
PLANNING_INFO_CUSTOM_PROP;2023-03-25T16:19:25.000Z;2023-03-25 13:45:48.188378
TAG_DETAILS;2023-03-25T16:19:25.000Z;2023-03-25 13:45:50.297708
WF_PROCESS_DETAILS;2023-03-25T16:19:25.000Z;2023-03-25 13:45:52.616408
WF_PROCESS_TASKS;2023-03-25T16:19:18.000Z;2023-03-25 13:45:54.923820
WF_TASKS_USER_ASSIGNMENT;2023-03-25T16:19:28.000Z;2023-03-25 13:45:57.097018
md_creative;2023-03-25T15:55:11.000Z;2023-03-25 13:45:59.471495
md_creative_x_asset;2023-03-25T15:55:29.000Z;2023-03-25 13:46:01.754790
md_message;2023-03-25T15:55:14.000Z;2023-03-25 13:46:04.336755
md_message_x_creative;2023-03-25T15:55:27.000Z;2023-03-25 13:46:06.705915
md_task;2023-03-25T15:58:42.000Z;2023-03-25 13:46:08.841787
ASSET_DETAILS;2023-03-25T16:47:42.000Z;2023-03-25 13:56:10.417870
ASSET_DETAILS_CUSTOM_PROP;2023-03-25T16:47:45.000Z;2023-03-25 13:56:12.930736
ASSET_FOLDER_DETAILS;2023-03-25T16:47:45.000Z;2023-03-25 13:56:15.220739
ASSET_RENDITION_DETAILS;2023-03-25T16:47:44.000Z;2023-03-25 13:56:18.100118
ASSET_REVISION;2023-03-25T16:47:45.000Z;2023-03-25 13:56:20.669423
CC_BUDGET_BREAKUP;2023-03-25T16:47:34.000Z;2023-03-25 13:56:22.758128
COMMITMENT_DETAILS;2023-03-25T16:47:42.000Z;2023-03-25 13:56:25.102171
COMMITMENT_LINE_ITEMS;2023-03-25T16:47:42.000Z;2023-03-25 13:56:27.272541
COMMITMENT_LINE_ITEMS_CCBDGT;2023-03-25T16:47:40.000Z;2023-03-25 13:56:29.647655
INVOICE_DETAILS;2023-03-25T16:47:34.000Z;2023-03-25 13:56:31.689144
INVOICE_LINE_ITEMS;2023-03-25T16:47:34.000Z;2023-03-25 13:56:34.206998
INVOICE_LINE_ITEMS_CCBDGT;2023-03-25T16:47:36.000Z;2023-03-25 13:56:36.867230
MD_BU;2023-03-25T16:47:36.000Z;2023-03-25 13:56:38.946270
MD_COSTCENTER;2023-03-25T16:47:44.000Z;2023-03-25 13:56:41.355118
MD_CUSTATTRIB_TABLE_VALUES;2023-03-25T16:47:34.000Z;2023-03-25 13:56:43.695775
MD_CUST_ATTRIB;2023-03-25T16:47:37.000Z;2023-03-25 13:56:46.427747
MD_GRID_ATTR_DEFN;2023-03-25T16:47:34.000Z;2023-03-25 13:56:48.784761
MD_OBJECT_TYPE;2023-03-25T16:47:42.000Z;2023-03-25 13:56:51.082423
MD_PICKLIST;2023-03-25T16:47:41.000Z;2023-03-25 13:56:53.403955
MD_VENDOR;2023-03-25T16:47:40.000Z;2023-03-25 13:56:55.720768
MD_WF_PROCESS_DEF;2023-03-25T16:47:43.000Z;2023-03-25 13:56:58.075323
MD_WF_PROCESS_DEF_TASKS;2023-03-25T16:47:44.000Z;2023-03-25 13:57:00.375452
MD_WF_PROCESS_DEF_TASK_ASSG;2023-03-25T16:47:37.000Z;2023-03-25 13:57:02.633880
PLANNING_HIERARCHY_DEFN;2023-03-25T16:47:34.000Z;2023-03-25 13:57:05.150826
PLANNING_INFO;2023-03-25T16:47:37.000Z;2023-03-25 13:57:07.881972
PLANNING_INFO_CUSTOM_PROP;2023-03-25T16:47:34.000Z;2023-03-25 13:57:10.318206
TAG_DETAILS;2023-03-25T16:47:32.000Z;2023-03-25 13:57:12.524692
WF_PROCESS_DETAILS;2023-03-25T16:47:41.000Z;2023-03-25 13:57:16.684362
WF_PROCESS_TASKS;2023-03-25T16:47:41.000Z;2023-03-25 13:57:18.795947
WF_TASKS_USER_ASSIGNMENT;2023-03-25T16:47:43.000Z;2023-03-25 13:57:21.100758
md_creative;2023-03-25T15:55:11.000Z;2023-03-25 13:57:23.716567
md_creative_x_asset;2023-03-25T15:55:29.000Z;2023-03-25 13:57:25.887244
md_message;2023-03-25T15:55:14.000Z;2023-03-25 13:57:28.099942
md_message_x_creative;2023-03-25T15:55:27.000Z;2023-03-25 13:57:30.372158
md_task;2023-03-25T15:58:42.000Z;2023-03-25 13:57:32.723514
ASSET_DETAILS;2023-03-27T13:05:02.000Z;2023-03-27 11:11:38.790384
ASSET_DETAILS_CUSTOM_PROP;2023-03-27T13:05:04.000Z;2023-03-27 11:11:41.067761
ASSET_FOLDER_DETAILS;2023-03-27T13:05:00.000Z;2023-03-27 11:11:43.263492
ASSET_RENDITION_DETAILS;2023-03-27T13:05:04.000Z;2023-03-27 11:11:45.882327
ASSET_REVISION;2023-03-27T13:05:00.000Z;2023-03-27 11:11:48.194086
CC_BUDGET_BREAKUP;2023-03-27T13:05:04.000Z;2023-03-27 11:11:50.300395
COMMITMENT_DETAILS;2023-03-27T13:05:03.000Z;2023-03-27 11:11:52.594424
COMMITMENT_LINE_ITEMS;2023-03-27T13:05:04.000Z;2023-03-27 11:11:54.903174
COMMITMENT_LINE_ITEMS_CCBDGT;2023-03-27T13:05:04.000Z;2023-03-27 11:11:57.245605
INVOICE_DETAILS;2023-03-27T13:05:00.000Z;2023-03-27 11:11:59.318665
INVOICE_LINE_ITEMS;2023-03-27T13:04:59.000Z;2023-03-27 11:12:01.377956
INVOICE_LINE_ITEMS_CCBDGT;2023-03-27T13:05:04.000Z;2023-03-27 11:12:03.650077
MD_BU;2023-03-27T13:05:00.000Z;2023-03-27 11:12:06.036609
MD_COSTCENTER;2023-03-27T13:05:04.000Z;2023-03-27 11:12:08.318498
MD_CUSTATTRIB_TABLE_VALUES;2023-03-27T13:05:04.000Z;2023-03-27 11:12:11.953012
MD_CUST_ATTRIB;2023-03-27T13:05:05.000Z;2023-03-27 11:12:15.893313
MD_GRID_ATTR_DEFN;2023-03-27T13:05:05.000Z;2023-03-27 11:12:18.383408
MD_OBJECT_TYPE;2023-03-27T13:05:03.000Z;2023-03-27 11:12:21.042460
MD_PICKLIST;2023-03-27T13:05:05.000Z;2023-03-27 11:12:23.381770
MD_VENDOR;2023-03-27T13:05:00.000Z;2023-03-27 11:12:25.583559
MD_WF_PROCESS_DEF;2023-03-27T13:05:04.000Z;2023-03-27 11:12:27.946278
MD_WF_PROCESS_DEF_TASKS;2023-03-27T13:04:58.000Z;2023-03-27 11:12:30.400579
MD_WF_PROCESS_DEF_TASK_ASSG;2023-03-27T13:05:02.000Z;2023-03-27 11:12:33.664507
PLANNING_HIERARCHY_DEFN;2023-03-27T13:05:01.000Z;2023-03-27 11:12:36.049473
PLANNING_INFO;2023-03-27T13:05:02.000Z;2023-03-27 11:12:40.249688
PLANNING_INFO_CUSTOM_PROP;2023-03-27T13:04:58.000Z;2023-03-27 11:12:42.727176
TAG_DETAILS;2023-03-27T13:04:59.000Z;2023-03-27 11:12:45.233310
WF_PROCESS_DETAILS;2023-03-27T13:05:04.000Z;2023-03-27 11:12:47.775564
WF_PROCESS_TASKS;2023-03-27T13:05:04.000Z;2023-03-27 11:12:50.046443
WF_TASKS_USER_ASSIGNMENT;2023-03-27T13:05:04.000Z;2023-03-27 11:12:54.232996
md_creative;2023-03-27T13:47:40.000Z;2023-03-27 11:12:56.977802
md_creative_x_asset;2023-03-27T13:47:57.000Z;2023-03-27 11:13:02.357285
md_message;2023-03-27T13:47:43.000Z;2023-03-27 11:13:04.497836
md_message_x_creative;2023-03-27T13:47:55.000Z;2023-03-27 11:13:06.972333
md_task;2023-03-27T13:50:55.000Z;2023-03-27 11:13:09.522039
ASSET_DETAILS;2023-03-27T16:25:39.000Z;2023-03-27 14:15:21.217503
ASSET_DETAILS_CUSTOM_PROP;2023-03-27T16:26:09.000Z;2023-03-27 14:15:23.844214
ASSET_FOLDER_DETAILS;2023-03-27T16:25:38.000Z;2023-03-27 14:15:26.149356
ASSET_RENDITION_DETAILS;2023-03-27T16:25:28.000Z;2023-03-27 14:15:28.848552
ASSET_REVISION;2023-03-27T16:26:06.000Z;2023-03-27 14:15:31.175968
CC_BUDGET_BREAKUP;2023-03-27T16:25:43.000Z;2023-03-27 14:15:33.542031
COMMITMENT_DETAILS;2023-03-27T16:25:47.000Z;2023-03-27 14:15:36.973138
COMMITMENT_LINE_ITEMS;2023-03-27T16:26:06.000Z;2023-03-27 14:15:39.249825
COMMITMENT_LINE_ITEMS_CCBDGT;2023-03-27T16:26:06.000Z;2023-03-27 14:15:41.487961
INVOICE_DETAILS;2023-03-27T16:26:11.000Z;2023-03-27 14:15:44.183101
INVOICE_LINE_ITEMS;2023-03-27T16:25:28.000Z;2023-03-27 14:15:46.425213
INVOICE_LINE_ITEMS_CCBDGT;2023-03-27T16:25:44.000Z;2023-03-27 14:15:48.611636
MD_BU;2023-03-27T16:25:43.000Z;2023-03-27 14:15:50.928057
MD_COSTCENTER;2023-03-27T16:25:43.000Z;2023-03-27 14:15:53.352159
MD_CUSTATTRIB_TABLE_VALUES;2023-03-27T16:25:31.000Z;2023-03-27 14:15:57.227376
MD_CUST_ATTRIB;2023-03-27T16:25:38.000Z;2023-03-27 14:16:00.274879
MD_GRID_ATTR_DEFN;2023-03-27T16:26:06.000Z;2023-03-27 14:16:02.588219
MD_OBJECT_TYPE;2023-03-27T16:25:44.000Z;2023-03-27 14:16:05.009972
MD_PICKLIST;2023-03-27T16:25:31.000Z;2023-03-27 14:16:07.305789
MD_VENDOR;2023-03-27T16:25:38.000Z;2023-03-27 14:16:09.412615
MD_WF_PROCESS_DEF;2023-03-27T16:25:39.000Z;2023-03-27 14:16:11.586318
MD_WF_PROCESS_DEF_TASKS;2023-03-27T16:25:38.000Z;2023-03-27 14:16:13.915139
MD_WF_PROCESS_DEF_TASK_ASSG;2023-03-27T16:25:28.000Z;2023-03-27 14:16:16.046589
PLANNING_HIERARCHY_DEFN;2023-03-27T16:25:31.000Z;2023-03-27 14:16:18.312554
PLANNING_INFO;2023-03-27T16:26:11.000Z;2023-03-27 14:16:20.650104
